idx,matchtype,partid,ppartid
0,0,n1,n0
1,0,n2,n2
2,0,n3,n1
3,0,n4voice_overlap,n7
4,1,n4,undefined
5,0,n5,n4
6,0,n6,n3
7,0,n6,n9
8,0,n7,n6
9,0,n8,n5
10,0,n9,n10
11,0,n10,n8
12,1,n11,undefined
13,0,n12,n18
14,0,n13,n20
15,0,n14,n11
16,0,n15voice_overlap,n14
17,1,n15,undefined
18,0,n16,n13
19,0,n17,n12
20,0,n18,n15
21,0,n19,n17
22,0,n20,n16
23,0,n21,n19
24,0,n22voice_overlap,n28
25,1,n22,undefined
26,0,n23,n22
27,0,n24,n21
28,0,n25,n23
29,0,n26,n25
30,0,n27,n27
31,0,n28,n24
32,0,n29,n29
33,0,n30,n26
34,0,n31,n30
35,0,n32,n39
36,0,n33,n38
37,0,n34,n31
38,0,n35voice_overlap,n35
39,1,n35,undefined
40,0,n36,n33
41,0,n37,n32
42,0,n38,n34
43,0,n39,n37
44,0,n40,n36
45,0,n41,n40
46,0,n42voice_overlap,n47
47,1,n42,undefined
48,0,n43,n42
49,0,n44,n41
50,0,n45,n43
51,0,n46,n45
52,0,n47,n44
53,0,n48,n48
54,0,n49,n46
55,0,n50,n49
56,0,n51,n51
57,0,n52,n50
58,0,n53voice_overlap,n55
59,1,n53,undefined
60,0,n54,n52
61,0,n55,n53
62,0,n56,n54
63,0,n57,n56
64,0,n58,n57
65,0,n59,n58
66,0,n60,n60
67,0,n61,n59
68,0,n62voice_overlap,n66
69,1,n62,undefined
70,0,n63,n62
71,0,n64,n61
72,0,n65,n63
73,0,n65,n68
74,0,n66,n65
75,0,n67,n64
76,0,n68,n69
77,0,n69,n67
78,1,n70,undefined
79,0,n71,n82
80,0,n72,n71
81,0,n73,n70
82,0,n74voice_overlap,n78
83,1,n74,undefined
84,0,n75,n73
85,0,n76,n72
86,0,n77,n74
87,0,n78,n76
88,0,n79,n75
89,0,n80,n79
90,0,n81,n77
91,0,n82,n80
92,0,n83,n83
93,0,n84,n81
94,0,n85voice_overlap,n92
95,1,n85,undefined
96,0,n86,n85
97,0,n87,n86
98,0,n88,n84
99,0,n89,n87
100,0,n90,n90
101,0,n91,n89
102,0,n92,n88
103,0,n93,n94
104,0,n94,n93
105,0,n95,n91
106,0,n96,n95
107,0,n97,n102
108,0,n98,n96
109,0,n99voice_overlap,n100
110,1,n99,undefined
111,0,n100,n98
112,0,n101,n97
113,0,n102,n99
114,0,n103,n101
115,0,n104,n103
116,0,n105,n105
117,0,n106,n104
118,0,n107voice_overlap,n113
119,1,n107,undefined
120,0,n108,n107
121,0,n109,n106
122,0,n110,n108
123,0,n111,n110
124,0,n112,n109
125,0,n113,n112
126,0,n114,n111
127,0,n115,n114
128,0,n116,n115
129,0,n117,n116
130,0,n118voice_overlap,n121
131,0,n118,n132
132,0,n119,n118
133,0,n120,n119
134,0,n121,n117
135,0,n121,n124
136,0,n122,n122
137,0,n123,n120
138,0,n124,n125
139,0,n125,n123
140,1,n126,undefined
141,0,n127,n127
142,0,n128,n126
143,1,n129voice_overlap,undefined
144,1,n129,undefined
145,0,n130,n128
146,0,n131,n129
147,0,n131,n131
148,0,n132,n135
149,0,n132,n145
150,0,n133,n130
151,0,n134,n133
152,0,n134,n136
153,0,n135,n137
154,0,n136,n134
155,0,n136,n138
156,0,n137voice_overlap,n142
157,1,n137,undefined
158,0,n138,n143
159,0,n139,n141
160,0,n141,n140
161,1,n142,undefined
162,0,n140,n139
163,0,n143,n154
164,0,n144,n146
165,0,n145,n147
166,0,n146,n144
167,0,n146,n149
168,0,n147voice_overlap,n152
169,1,n147,undefined
170,0,n148,n151
171,0,n149,n153
172,0,n151,n150
173,1,n152,undefined
174,0,n150,n148
175,1,n153,undefined
176,1,n154,undefined
177,0,n155,n159
178,0,n156,n157
179,1,n157,undefined
180,0,n158,n160
181,0,n159voice_overlap,n161
182,1,n159,undefined
183,0,n160,n158
184,0,n160,n162
185,0,n161,n163
186,1,n162,undefined
187,1,n163,undefined
188,1,n164,undefined
189,0,n165,n166
190,0,n166,n165
191,0,n167,n164
192,0,n168voice_overlap,n170
193,1,n168,undefined
194,0,n169,n168
195,0,n170,n167
196,0,n170,n173
197,0,n171,n171
198,0,n172,n169
199,0,n173,n172
200,0,n174,n174
201,1,n175,undefined
202,0,n176,n182
